"","W_st","R_eq_sen","R0_sen","R_eq_res","R0_res","No_trt_cat","Incidence","Vector_no","Prob_onward_tran","Risk","prevalence","vector_birth","vector_mortality","fit.adj"
"R0s41",0,0.285924985252684,0.28592498525258,5.73293402169286,5.73293402169078,2.19114095200583e-35,2.08576216791021e-35,5000,0.996762435798885,2.18404699250002e-35,3.9240881680301e-39,0.09,0.09,0.9
"R0s42",0,0.222549967486819,0.222549967486799,5.73293402169129,5.73293402169078,1.5816671421551e-41,1.50688933055528e-41,5000,0.99676243579888,1.57654639323757e-41,2.10254013967086e-45,0.09,0.09,0.9
"R0s43",0,0.159174949720979,0.159174949721019,5.73293402168935,5.73293402169078,6.57475386452538e-49,6.3091588834735e-49,5000,0.996762435798874,6.55346767678238e-49,5.76717462432705e-53,0.09,0.09,0.9
"R0s44",0,0.0957999319552282,0.0957999319552378,5.7329340216902,5.73293402169078,2.5139323635303e-58,2.44901150974339e-58,5000,0.996762435798876,2.50579334610609e-58,1.09143550368425e-62,0.09,0.09,0.9
"R0s45",0,0.999999999999697,2.62191741671935,0.899999999999727,2.35972567504742,0,72.2528769370057,5000,0.59343034025929,0,0.310552355002261,0.12,0.12,0.9
"R0s46",0,1.00000000000269,2.10020320890646,1.12357016932778,2.35972567504742,13.2785257628507,66.3926288144103,5000,0.674883002565474,8.96145133647568,0.228291391093295,0.12,0.12,0.9
"R0s47",0,1.00000000029145,1.57848900109357,1.49492690421052,2.35972567504742,20.3067301270348,50.7668253272618,5000,0.775735003041568,15.7526413568596,0.130921489856575,0.12,0.12,0.9
"R0s48",0,1.00116018789017,1.05677479328068,2.2355410208694,2.35972567504742,4.82675107223072,8.04935099712044,5000,0.893065739466332,4.31060601554164,0.0138306733797136,0.12,0.12,0.9
"R0s49",0,0.535060585467975,0.535060585467785,2.35972567504826,2.35972567504742,3.83629341373976e-16,3.85606517374194e-16,5000,0.905553871427443,3.47397035274364e-16,4.12222324086467e-19,0.12,0.12,0.9
"R0s50",0,0.274203481561203,0.274203481561339,2.35972567504625,2.35972567504742,1.26162950988024e-36,1.08880699446972e-36,5000,0.905553871427253,1.14247348697892e-36,6.02516593330259e-40,0.12,0.12,0.9
