"","W_st","R_eq_sen","R0_sen","R_eq_res","R0_res","No_trt_cat","Incidence","Vector_no","Prob_onward_tran","Risk","prevalence","vector_birth","vector_mortality","fit.adj","times","CS","CEs","CEr","CIs","CIr","CTs","CTr","CR","PS","PEs","PEr","PIs","PIr","PTs","PTr","PR","WS","WEs","WEr","WIs","WIr","WR","VS","VEs","VEr","VIs","VIr","total.cattle","treat_prop"
"R0s14",0,0.95210135247153,0.954200925844785,56.9763894846212,57.1020337870429,0.399270766339248,0.403062383975034,5000,1,0.399270766339248,1.7334527224667e-05,0.03,0.03,0.9,3000,49.8902050945231,0.0165528699784408,0,0.000866726361233351,0,0.000436911984028588,0,0.0919383971521323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999.97770539275,0.00991686192358661,0,0.0123777450619882,0,49.999999999999,0.99
"R0s15",0,0.999999999999989,17.4101447705352,0.89999999999999,15.6691302934817,0,110.709132483165,5000,0.593430340259397,0,0.475842392308766,0.06,0.06,0.9,3000,2.98576934998234,4.54657628267619,8.18551909462231e-28,23.7921196154383,4.58899252521872e-27,0,0,18.6755347519031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4809.29448395318,133.266118433777,2.59606519204984e-26,57.4393976130268,1.13498207526246e-26,49.9999999999999,0
"R0s16",0,0.999999999999995,13.9458404301519,1.12357016932474,15.6691302934817,23.6733130012948,118.366565006474,5000,0.674883002564488,15.9767165589628,0.407004034436751,0.06,0.06,0.9,3000,3.70705577078659,4.86104989759646,0,20.3502017218376,0,0.0258972189399411,0,21.0557953908393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4835.77624141585,114.760513040208,0,49.4632455440432,0,49.9999999999999,0.2
"R0s17",0,1.00000000000001,10.4815360897685,1.49492690377484,15.6691302934817,50.4569862766906,126.142465691727,5000,0.775735002943859,39.1412503978869,0.325306131301885,0.06,0.06,0.9,3000,4.90004914576006,5.18038873477317,0,16.2653065650942,0,0.0551969899855415,0,23.5990585643872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4867.59726910807,92.5237947059311,0,39.8789361860265,0,50.0000000000002,0.4
"R0s18",0,0.999999999999992,7.01723174938518,2.23295037888045,15.6691302934817,79.1546671719536,131.924445286589,5000,0.892788351930175,70.66836485203,0.226811437290317,0.06,0.06,0.9,3000,7.26102049300995,5.4178416955478,0,11.3405718645159,0,0.0865905733497516,0,25.8939753735765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4906.55336285459,65.3010509147265,0,28.1455862309322,0,49.9999999999998,0.6
"R0s19",0,1.00000000000001,3.55292740900184,4.41020276794339,15.6691302934817,98.6236181325831,123.279522665729,5000,0.987847286100734,97.4250735177074,0.105974316069838,0.06,0.06,0.9,3000,14.1997132359055,5.06281407251454,0,5.29871580349191,0,0.107888466277996,0,25.3308684218102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4955.34732994618,31.2035442871699,0,13.4491257666298,0,50.0000000000002,0.8
"R0s20",0,1.00000000000084,1.82077523881016,8.60574658502845,15.6691302934817,73.8599547531207,82.0666163923716,5000,0.99981694915186,73.8464346257596,0.0352733096149611,0.06,0.06,0.9,3000,27.5452479032312,3.37029225430684,0,1.76366548074806,0,0.0807984678372255,0,17.2399958938771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4984.67657294309,10.7080995207137,0,4.6153275362015,0,50.0000000000004,0.9
"R0s21",0,1.00000000001268,1.64756002179099,9.51050649835936,15.6691302934817,65.5150155521232,71.9945225848596,5000,0.999925930483855,65.510162886621,0.0278497722656782,0.06,0.06,0.9,3000,30.4219649187577,2.95665390492236,0,1.39248861328391,0,0.0716695927398938,0,15.1572229702957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4987.82838356968,8.50559601169196,0,3.66602041832156,0,49.9999999999995,0.91
"R0s22",0,1.00000000002501,1.47434480477183,10.6278600793785,15.6691302934817,54.5534290711037,59.2972055121917,5000,0.999975768571751,54.5521071636014,0.0203893742062358,0.06,0.06,0.9,3000,33.9743652592075,2.43520351179432,0,1.01946871031179,0,0.0596782586578168,0,12.5112842600288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4991.0232539724,6.27300208226879,0,2.70374394527721,0,50.0000000000002,0.92
"R0s23",0,1.00000000037289,1.30112958775266,12.0427130754813,15.6691302934817,39.9162798631396,42.9207310374039,5000,0.999994112700035,39.9160448640266,0.0129135257537312,0.06,0.06,0.9,3000,38.4722979837324,1.76265835882562,0,0.645676287686559,0,0.0436660740650894,0,9.07570129569069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4994.2620726468,4.0096968461983,0,1.72823050699023,0,50.0000000000004,0.93
